City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hobart,-42.8794,147.3294,70.11,87,20,2.3,AU,1643661948
mayo,38.8876,-76.5119,38.89,56,100,5.99,US,1643662099
rikitea,-23.1203,-134.9692,77.49,65,99,4.54,PF,1643662100
mataura,-46.1927,168.8643,66.47,67,38,1.81,NZ,1643661947
roald,62.5833,6.1333,33.01,86,20,13.8,NO,1643662100
port hedland,-20.3167,118.5667,82.45,89,100,14.97,AU,1643662100
hirara,24.8,125.2833,65.07,63,100,14.32,JP,1643662101
georgetown,5.4112,100.3354,80.89,84,20,1.99,MY,1643662101
castro,-24.7911,-50.0119,74.95,72,13,2.82,BR,1643662101
auki,-8.7676,160.7034,79.18,86,98,2.98,SB,1643662101
tuktoyaktuk,69.4541,-133.0374,-13.0,70,75,6.91,CA,1643662102
avarua,-21.2078,-159.775,82.45,78,75,11.5,CK,1643662102
abha,18.2164,42.5053,57.02,51,0,8.05,SA,1643662102
esperance,-33.8667,121.9,60.64,57,91,15.32,AU,1643662088
albany,42.6001,-73.9662,29.25,41,9,1.01,US,1643661975
ushuaia,-54.8,-68.3,53.22,66,40,23.02,AR,1643661940
torbay,47.6666,-52.7314,34.57,72,75,13.8,CA,1643661906
zhigansk,66.7697,123.3711,-31.09,99,87,7.9,RU,1643661533
hurghada,27.2574,33.8129,59.04,41,0,0.0,EG,1643662103
cockburn town,21.4612,-71.1419,73.36,73,75,16.11,TC,1643662103
bengkulu,-3.8004,102.2655,75.65,86,99,3.2,ID,1643662103
chokurdakh,70.6333,147.9167,-17.81,97,100,1.97,RU,1643662104
kavieng,-2.5744,150.7967,80.31,79,100,7.74,PG,1643662059
faanui,-16.4833,-151.75,81.25,71,3,18.07,PF,1643662104
guerrero negro,27.9769,-114.0611,68.58,41,2,10.74,MX,1643661501
sabang,5.8933,95.3214,81.72,74,98,10.13,ID,1643662104
wapakoneta,40.5678,-84.1936,34.61,57,0,0.0,US,1643662105
catuday,16.2923,119.8062,75.27,71,4,10.29,PH,1643662105
bathsheba,13.2167,-59.5167,84.81,65,40,13.8,BB,1643662105
busselton,-33.65,115.3333,58.05,63,30,15.37,AU,1643661768
palaikastron,35.2,26.25,52.75,61,20,6.6,GR,1643662106
cape town,-33.9258,18.4232,78.12,77,0,1.99,ZA,1643661465
arraial do cabo,-22.9661,-42.0278,80.56,83,75,8.05,BR,1643662021
kamenka,51.3223,42.7678,33.75,94,100,18.88,RU,1643662106
saskylakh,71.9167,114.0833,-28.52,100,91,2.06,RU,1643661831
yellowknife,62.456,-114.3525,-7.58,83,20,9.22,CA,1643661906
seddon,-37.8068,144.8916,75.31,81,100,7.0,AU,1643662107
arroyo,41.6096,-4.7969,42.15,78,0,6.91,ES,1643662107
lasa,46.6166,10.7002,40.91,94,97,7.81,IT,1643661531
longyearbyen,78.2186,15.6401,10.24,72,75,12.66,SJ,1643662108
puerto ayora,-0.7393,-90.3518,78.76,92,62,4.0,EC,1643662056
berlevag,70.8578,29.0864,17.6,67,0,11.5,NO,1643662108
saint-philippe,-21.3585,55.7679,80.19,80,96,15.19,RE,1643661605
hermanus,-34.4187,19.2345,76.89,81,19,11.68,ZA,1643662041
atuona,-9.8,-139.0333,78.48,76,19,21.59,PF,1643661879
belle fourche,44.6714,-103.8522,51.12,25,90,20.69,US,1643662108
mount gambier,-37.8333,140.7667,60.71,77,75,10.36,AU,1643661918
bluff,-46.6,168.3333,66.79,83,25,4.27,NZ,1643662109
kapaa,22.0752,-159.319,77.47,70,0,1.01,US,1643661383
eureka,40.8021,-124.1637,54.75,74,69,10.0,US,1643662109
ponta do sol,32.6667,-17.1,66.0,55,37,13.06,PT,1643661513
iqaluit,63.7506,-68.5145,-27.67,66,20,2.3,CA,1643661604
punta arenas,-53.15,-70.9167,50.11,71,75,39.12,CL,1643661942
havoysund,70.9963,24.6622,26.83,71,100,8.12,NO,1643662110
stanislav,46.5691,32.1478,34.09,74,21,4.36,UA,1643662110
san patricio,28.017,-97.5169,73.49,88,100,9.4,US,1643662110
cherskiy,68.75,161.3,-16.85,96,100,3.49,RU,1643662110
clyde river,70.4692,-68.5914,-30.77,68,0,3.44,CA,1643661603
bredasdorp,-34.5322,20.0403,74.28,88,69,8.05,ZA,1643662093
kodiak,57.79,-152.4072,24.31,80,100,3.44,US,1643661317
port lincoln,-34.7333,135.8667,63.97,73,43,18.01,AU,1643662111
hambantota,6.1241,81.1185,75.76,81,4,15.97,LK,1643662111
saint george,37.1041,-113.5841,65.32,21,0,1.99,US,1643662112
port alfred,-33.5906,26.891,75.6,94,100,7.78,ZA,1643661943
bonavista,48.6499,-53.1147,34.12,70,85,16.35,CA,1643662057
tautira,-17.7333,-149.15,84.22,78,35,19.22,PF,1643662112
portsmouth,50.799,-1.0913,43.93,89,14,5.01,GB,1643662113
anadyr,64.75,177.4833,9.1,72,0,13.42,RU,1643662113
saldanha,-33.0117,17.9442,80.65,71,14,3.4,ZA,1643661716
dandong,40.1292,124.3947,21.42,87,89,8.03,CN,1643662114
provideniya,64.3833,-173.3,3.83,78,95,20.74,RU,1643662114
hilo,19.7297,-155.09,80.26,58,20,4.61,US,1643662087
codrington,-38.2667,141.9667,62.8,72,50,14.61,AU,1643662103
muros,42.7762,-9.0603,52.09,73,10,15.55,ES,1643662114
rawson,-43.3002,-65.1023,76.21,24,80,8.37,AR,1643662115
ostrovnoy,68.0531,39.5131,8.69,93,98,5.97,RU,1643662115
jamestown,42.097,-79.2353,35.24,37,0,4.61,US,1643661517
